review_id,location,review_text_clean,aspect,sentiment,polarity,confidence,aspect_sentences
REV_000000,Bentota Beach,beautiful beach so clean. golden sand and a beach so peaceful and tranquil. april 23 the beach was empty a peaceful place take a dab walk and relax. there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no,cleanliness,positive,0.608,0.608,['beautiful beach so clean.']
REV_000000,Bentota Beach,beautiful beach so clean. golden sand and a beach so peaceful and tranquil. april 23 the beach was empty a peaceful place take a dab walk and relax. there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no,location,positive,0.319,0.319,"['beautiful beach so clean.', 'golden sand and a beach so peaceful and tranquil.', 'april 23 the beach was empty a peaceful place take a dab walk and relax.']"
REV_000000,Bentota Beach,beautiful beach so clean. golden sand and a beach so peaceful and tranquil. april 23 the beach was empty a peaceful place take a dab walk and relax. there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no,amenities,positive,0.319,0.319,"['beautiful beach so clean.', 'golden sand and a beach so peaceful and tranquil.', 'april 23 the beach was empty a peaceful place take a dab walk and relax.']"
REV_000000,Bentota Beach,beautiful beach so clean. golden sand and a beach so peaceful and tranquil. april 23 the beach was empty a peaceful place take a dab walk and relax. there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no,view,positive,0.608,0.608,['beautiful beach so clean.']
REV_000000,Bentota Beach,beautiful beach so clean. golden sand and a beach so peaceful and tranquil. april 23 the beach was empty a peaceful place take a dab walk and relax. there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no,crowd,positive,0.18,0.18,"['golden sand and a beach so peaceful and tranquil.', 'april 23 the beach was empty a peaceful place take a dab walk and relax.', 'there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no']"
REV_000001,Bentota Beach,"excellent service, fantastic food, top notch ambience. historic cinnamon bentota formerly bentota beach hotel. loved every second of our stay.",food,positive,0.633,0.633,"['excellent service, fantastic food, top notch ambience.']"
REV_000001,Bentota Beach,"excellent service, fantastic food, top notch ambience. historic cinnamon bentota formerly bentota beach hotel. loved every second of our stay.",service,positive,0.633,0.633,"['excellent service, fantastic food, top notch ambience.']"
REV_000001,Bentota Beach,"excellent service, fantastic food, top notch ambience. historic cinnamon bentota formerly bentota beach hotel. loved every second of our stay.",location,neutral,0.0,0.0,['historic cinnamon bentota formerly bentota beach hotel.']
REV_000001,Bentota Beach,"excellent service, fantastic food, top notch ambience. historic cinnamon bentota formerly bentota beach hotel. loved every second of our stay.",amenities,neutral,0.0,0.0,['historic cinnamon bentota formerly bentota beach hotel.']
REV_000002,Bentota Beach,really stunning long and wide white sand beach. sunbeds but not too many. plenty of palm trees along the back. peaceful and serene,location,neutral,0.087,0.087,['really stunning long and wide white sand beach.']
REV_000002,Bentota Beach,really stunning long and wide white sand beach. sunbeds but not too many. plenty of palm trees along the back. peaceful and serene,amenities,neutral,0.1,0.1,"['really stunning long and wide white sand beach.', 'plenty of palm trees along the back.', 'peaceful and serene']"
REV_000002,Bentota Beach,really stunning long and wide white sand beach. sunbeds but not too many. plenty of palm trees along the back. peaceful and serene,view,neutral,0.087,0.087,['really stunning long and wide white sand beach.']
REV_000002,Bentota Beach,really stunning long and wide white sand beach. sunbeds but not too many. plenty of palm trees along the back. peaceful and serene,crowd,positive,0.25,0.25,['peaceful and serene']
REV_000003,Bentota Beach,"beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",cleanliness,positive,0.663,0.663,"['beautiful beach, very clean.']"
REV_000003,Bentota Beach,"beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",location,positive,0.663,0.663,"['beautiful beach, very clean.']"
REV_000003,Bentota Beach,"beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",value,positive,0.3,0.3,['worth a visit']
REV_000003,Bentota Beach,"beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",amenities,positive,0.663,0.663,"['beautiful beach, very clean.']"
REV_000003,Bentota Beach,"beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",view,positive,0.726,0.726,"['beautiful beach, very clean.', 'the sunsets in the evening are beautiful.']"
REV_000003,Bentota Beach,"beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",transport,positive,0.275,0.275,"['nice breeze, and its not busy.']"
