location,Location,Location_Type,review_text,review_text_clean,review_id,text_length,word_count,image_paths,has_images,image_count
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Beautiful beach so clean.  Golden sand and a beach so peaceful and tranquil.  April 23 The beach was empty a peaceful place take a dab walk and relax.  There are a couple of people trying to sell trips or souvenirs but they don't bother you too much once you say ""No""",beautiful beach so clean. golden sand and a beach so peaceful and tranquil. april 23 the beach was empty a peaceful place take a dab walk and relax. there are a couple of people trying to sell trips or souvenirs but they dont bother you too much once you say no,REV_000000,261,51,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Excellent service, fantastic food, top notch ambience. Historic Cinnamon Bentota (formerly Bentota Beach Hotel). Loved every second of our stay.","excellent service, fantastic food, top notch ambience. historic cinnamon bentota formerly bentota beach hotel. loved every second of our stay.",REV_000001,142,20,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,Really stunning long and wide white sand beach. Sunbeds but not too many. Plenty of palm trees along the back. Peaceful and serene,really stunning long and wide white sand beach. sunbeds but not too many. plenty of palm trees along the back. peaceful and serene,REV_000002,130,23,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Beautiful beach, very clean. Soft sand. Nice breeze, and it's not busy. The sunsets in the evening are beautiful. Also you can get an ice cream for 45p!! Worth a visit ","beautiful beach, very clean. soft sand. nice breeze, and its not busy. the sunsets in the evening are beautiful. also you can get an ice cream for 45p!! worth a visit",REV_000003,166,31,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Beautiful strip of beach, for the most part very clean and quiet. A nice break from the beaches filled with surfers and hawkers.","beautiful strip of beach, for the most part very clean and quiet. a nice break from the beaches filled with surfers and hawkers.",REV_000004,128,23,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,There is many thing to do at the beach side  so that on you if you are interested in water sports or any other activities etc,there is many thing to do at the beach side so that on you if you are interested in water sports or any other activities etc,REV_000005,124,26,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Excellent beach, clean, safe and well maintained.    Really beautiful and a pleasure to visit.  Enjoyed both the ocean and just chilling on the gorgeous shore.","excellent beach, clean, safe and well maintained. really beautiful and a pleasure to visit. enjoyed both the ocean and just chilling on the gorgeous shore.",REV_000006,155,25,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Been there twice 
Great shallow beach
If they can get rid of dangerously annoying street vendors 
Beach is partly used by the fishing boats
Hence itÂ’s not in the best as you expected",been there twice great shallow beach if they can get rid of dangerously annoying street vendors beach is partly used by the fishing boats hence its not in the best as you expected,REV_000007,179,33,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,"Not so many tourists during The week. The beds seems to be free unless there comes a guy offering you drinks. If you buy some drinks from him, another guy comes And asks you to Pay not only for drinks but for The bed too.","not so many tourists during the week. the beds seems to be free unless there comes a guy offering you drinks. if you buy some drinks from him, another guy comes and asks you to pay not only for drinks but for the bed too.",REV_000008,221,45,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
Bentota Beach,"Bentota, Galle District, Southern Province",Beaches,Very beautiful and clean beach with a very long stretch. It is less crowded and you can expect very big hotel chains there. It's beautiful and so peaceful.,very beautiful and clean beach with a very long stretch. it is less crowded and you can expect very big hotel chains there. its beautiful and so peaceful.,REV_000009,154,28,/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/9.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/6.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/4.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/3.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/12.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/7.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/17.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/11.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/22.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/18.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/15.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/2.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/14.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/24.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/1.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/10.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/21.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/5.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/8.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/25.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/16.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/23.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/20.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/13.jpg|/content/drive/My Drive/Tourism_Sentiment_Research/images/Bentota Beach/19.jpg,True,25
